DateTime,Civil Building Demand (kW),GHI (W/m2),Civil Building Demand (kW) - 1,Week Day,Month,Sin Hour
2017-10-02 10:00:00,344.1102312,31.562197500000007,301.3684848,0,10,7.8405935811517145
2017-10-02 11:00:00,355.7104606,31.562197500000007,344.1102312,0,10,9.17988502052864
2017-10-02 12:00:00,350.5483337,31.562197500000007,355.7104606,0,10,9.893582466233818
2017-10-02 13:00:00,360.9119129,31.562197500000007,350.5483337,0,10,9.933048616783237
2017-10-02 14:00:00,371.6408747,31.562197500000007,360.9119129,0,10,9.295593919237854
2017-10-02 15:00:00,393.9639571,31.562197500000007,371.6408747,0,10,8.024659857791692
2017-10-02 16:00:00,369.4968768,31.562197500000007,393.9639571,0,10,6.206858488414452
2017-10-02 17:00:00,332.4445231,31.562197500000007,369.4968768,0,10,3.96606997037041
2017-10-02 18:00:00,278.1886432,31.562197500000007,332.4445231,0,10,1.455000338086137
2017-10-02 19:00:00,189.1555558,31.562197500000007,278.1886432,0,10,-1.1552251627369503
2017-10-02 20:00:00,138.7738005,31.562197500000007,189.1555558,0,10,-3.6867239778193617
2017-10-02 21:00:00,121.7048588,31.562197500000007,138.7738005,0,10,-5.966978646412833
2017-10-02 22:00:00,112.8533985,31.562197500000007,121.7048588,0,10,-7.840593581151714
2017-10-02 23:00:00,111.3933953,31.562197500000007,112.8533985,0,10,-9.179885020528637
2017-10-03 00:00:00,110.9455439,31.562197500000007,111.3933953,1,10,-9.893582466233818
2017-10-03 01:00:00,100.9985085,31.562197500000007,110.9455439,1,10,-9.933048616783237
2017-10-03 02:00:00,92.611317,31.562197500000007,100.9985085,1,10,-9.29559391923785
2017-10-03 03:00:00,91.6314273,31.562197500000007,92.611317,1,10,-8.024659857791685
2017-10-03 04:00:00,91.6211187,31.562197500000007,91.6314273,1,10,-6.2068584884144515
2017-10-03 05:00:00,98.4702289,31.562197500000007,91.6211187,1,10,-3.9660699703704005
2017-10-03 06:00:00,107.5154527,31.562197500000007,98.4702289,1,10,-1.455000338086136
2017-10-03 07:00:00,186.7868686,31.562197500000007,107.5154527,1,10,1.1552251627369516
2017-10-03 08:00:00,273.0341523,31.562197500000007,186.7868686,1,10,3.686723977819363
2017-10-03 09:00:00,307.4929386,31.562197500000007,273.0341523,1,10,5.966978646412833
2017-10-03 10:00:00,350.1119363,31.562197500000007,307.4929386,1,10,7.8405935811517145
2017-10-03 11:00:00,359.4278563,31.562197500000007,350.1119363,1,10,9.17988502052864
2017-10-03 12:00:00,376.3141067,31.562197500000007,359.4278563,1,10,9.893582466233818
2017-10-03 13:00:00,372.6854795,31.562197500000007,376.3141067,1,10,9.933048616783237
2017-10-03 14:00:00,396.107955,31.562197500000007,372.6854795,1,10,9.295593919237854
2017-10-03 15:00:00,397.2357922,31.562197500000007,396.107955,1,10,8.024659857791692
2017-10-03 16:00:00,383.5532256,31.562197500000007,397.2357922,1,10,6.206858488414452
2017-10-03 17:00:00,341.9141176,31.562197500000007,383.5532256,1,10,3.96606997037041
2017-10-03 18:00:00,266.672028,31.562197500000007,341.9141176,1,10,1.455000338086137
2017-10-03 19:00:00,185.4261334,31.562197500000007,266.672028,1,10,-1.1552251627369503
2017-10-03 20:00:00,130.8758857,31.562197500000007,185.4261334,1,10,-3.6867239778193617
2017-10-03 21:00:00,116.7750572,31.562197500000007,130.8758857,1,10,-5.966978646412833
2017-10-03 22:00:00,116.6259643,31.562197500000007,116.7750572,1,10,-7.840593581151714
2017-10-03 23:00:00,111.3002361,31.562197500000007,116.6259643,1,10,-9.179885020528637
2017-10-04 00:00:00,105.9884436,31.562197500000007,111.3002361,2,10,-9.893582466233818
2017-10-04 01:00:00,96.3991548,31.562197500000007,105.9884436,2,10,-9.933048616783237
2017-10-04 02:00:00,92.1558296,31.562197500000007,96.3991548,2,10,-9.29559391923785
2017-10-04 03:00:00,93.1832534,31.562197500000007,92.1558296,2,10,-8.024659857791685
2017-10-04 04:00:00,88.8828491,31.562197500000007,93.1832534,2,10,-6.2068584884144515
2017-10-04 05:00:00,93.0601229,31.562197500000007,88.8828491,2,10,-3.9660699703704005
2017-10-04 06:00:00,99.9586762,31.562197500000007,93.0601229,2,10,-1.455000338086136
2017-10-04 07:00:00,173.5861336,31.562197500000007,99.9586762,2,10,1.1552251627369516
2017-10-04 08:00:00,252.7453003,31.562197500000007,173.5861336,2,10,3.686723977819363
2017-10-04 09:00:00,303.0611951,31.562197500000007,252.7453003,2,10,5.966978646412833
2017-10-04 10:00:00,346.3920589,31.562197500000007,303.0611951,2,10,7.8405935811517145
2017-10-04 11:00:00,365.0529157,31.562197500000007,346.3920589,2,10,9.17988502052864
2017-10-04 12:00:00,374.7330729,31.562197500000007,365.0529157,2,10,9.893582466233818
2017-10-04 13:00:00,360.0864613,31.562197500000007,374.7330729,2,10,9.933048616783237
2017-10-04 14:00:00,377.9526014,31.562197500000007,360.0864613,2,10,9.295593919237854
2017-10-04 15:00:00,357.966135,31.562197500000007,377.9526014,2,10,8.024659857791692
2017-10-04 16:00:00,368.4558991,31.562197500000007,357.966135,2,10,6.206858488414452
2017-10-04 17:00:00,323.4401519,31.562197500000007,368.4558991,2,10,3.96606997037041
2017-10-04 18:00:00,255.8798783,31.562197500000007,323.4401519,2,10,1.455000338086137
2017-10-04 19:00:00,172.4535239,31.562197500000007,255.8798783,2,10,-1.1552251627369503
2017-10-04 20:00:00,123.9695055,31.562197500000007,172.4535239,2,10,-3.6867239778193617
2017-10-04 21:00:00,108.7146865,31.562197500000007,123.9695055,2,10,-5.966978646412833
2017-10-04 22:00:00,103.9339778,31.562197500000007,108.7146865,2,10,-7.840593581151714
2017-10-04 23:00:00,104.2888609,31.562197500000007,103.9339778,2,10,-9.179885020528637
2017-10-05 00:00:00,100.4006097,31.562197500000007,104.2888609,3,10,-9.893582466233818
2017-10-05 01:00:00,81.9881138,31.562197500000007,100.4006097,3,10,-9.933048616783237
2017-10-05 02:00:00,77.7793415,31.562197500000007,81.9881138,3,10,-9.29559391923785
2017-10-05 03:00:00,76.9183825,31.562197500000007,77.7793415,3,10,-8.024659857791685
2017-10-05 04:00:00,75.7976086,31.562197500000007,76.9183825,3,10,-6.2068584884144515
2017-10-05 05:00:00,72.7403451,31.562197500000007,75.7976086,3,10,-3.9660699703704005
2017-10-05 06:00:00,72.967707,31.562197500000007,72.7403451,3,10,-1.455000338086136
2017-10-05 07:00:00,120.6573905,31.562197500000007,72.967707,3,10,1.1552251627369516
2017-10-05 08:00:00,152.4204779,31.562197500000007,120.6573905,3,10,3.686723977819363
2017-10-05 09:00:00,159.412954,31.562197500000007,152.4204779,3,10,5.966978646412833
2017-10-05 10:00:00,160.289185,31.562197500000007,159.412954,3,10,7.8405935811517145
